result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,dp_l2_norm_clip,dp_noise_multiplier,epochs,generate_time,learning_rate,num_of_runs,predict_batch_size,rnn_units,timestamp,validator
"1,2,3,4,5","1018,3601,3160,996,225",histogram_q1,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4730,586,772,513,235,499,71,163,53,21,301,1,43,4,58,151,6,2,6,2,129,9,9,8,6,73,4,9,25,10,501",histogram_q2,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","5125,459,640,370,142,507,66,109,42,9,368,1,37,6,28,245,6,8,5,3,225,5,7,6,7,106,8,7,25,10,418",histogram_q3,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","308,110,116,188,142,246,330,312,330,305,547,592,806,618,683,1061,603,594,370,361,378",histogram_ppincimp,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"0,1","709,8291",histogram_insured,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"1,2,3,4","567,2038,2602,3793",histogram_ppeducat,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,22809,sum_q1,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,37713,sum_q2,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,37829,sum_q3,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,117243,sum_ppincimp,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,8291,sum_insured,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,27621,sum_ppeducat,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,9000,count_q1,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,9000,count_q2,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,9000,count_q3,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,9000,count_ppincimp,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,9000,count_insured,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,9000,count_ppeducat,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,2.5343333333333335,avg_q1,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,4.190333333333333,avg_q2,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,4.203222222222222,avg_q3,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,13.027,avg_ppincimp,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,0.9212222222222223,avg_insured,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,3.069,avg_ppeducat,-1,9000,1,1621546055.609838,,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"1.0,2.0,3.0,4.0,5.0","2053,3160,2511,833,393",histogram_q1,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0","3940,663,1566,1187,347,499,103,106,65,87,176,7,14,13,5,47,6,4,1,53,3,1,3,2,14,2,4,1,1,37",histogram_q2,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0","5744,358,760,560,199,472,43,65,34,39,217,6,14,7,7,36,1,1,2,116,7,6,8,4,28,1,2,1,1,109",histogram_q3,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0","439,835,956,593,109,251,196,190,163,419,1179,895,747,428,299,402,339,210,96,73,172",histogram_ppincimp,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"0.0,1.0","154,7831",histogram_insured,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
"1.0,2.0,3.0,4.0","1520,1814,2167,3422",histogram_ppeducat,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,21203.0,sum_q1,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,19972.0,sum_q2,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,18238.0,sum_q3,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,84717.0,sum_ppincimp,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,7831.0,sum_insured,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
,25337.0,sum_ppeducat,56.1027,9000,1,1621546055.609838,gretel,4,0.1,0.3,100,546.4796254634857,0.001,0,1,32,2021-05-14T20:12:47,gretel
