result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,dp_l2_norm_clip,dp_noise_multiplier,epochs,generate_time,learning_rate,num_of_runs,predict_batch_size,rnn_units,timestamp,validator
"1,2,3,4,5","774,2846,2438,765,177",histogram_q1,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","3817,430,576,387,174,379,50,125,36,16,223,1,31,3,38,101,6,1,4,2,100,6,8,5,4,57,3,6,15,6,390",histogram_q2,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4205,348,464,281,97,357,48,71,33,6,271,1,22,3,18,171,4,8,4,3,153,5,7,2,4,78,4,3,17,7,305",histogram_q3,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","216,80,88,146,109,175,263,236,247,218,419,442,586,478,533,837,501,484,314,308,320",histogram_ppincimp,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"0,1","535,6465",histogram_insured,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"1,2,3,4","429,1687,1967,2917",histogram_ppeducat,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,17725,sum_q1,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,28335,sum_q2,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,26990,sum_q3,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,92636,sum_ppincimp,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,6465,sum_insured,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,21372,sum_ppeducat,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_q1,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_q2,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_q3,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_ppincimp,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_insured,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_ppeducat,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,2.532142857142857,avg_q1,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,4.047857142857143,avg_q2,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,3.855714285714286,avg_q3,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,13.233714285714285,avg_ppincimp,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,0.9235714285714286,avg_insured,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,3.053142857142857,avg_ppeducat,-1,7000,1,1621546055.609838,,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"1.0,2.0,3.0,4.0,5.0","1945,2125,1802,539,362",histogram_q1,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0","2857,663,1276,1001,174,329,67,44,60,19,106,7,25,18,4,9,1,1,1,73,7,12,13,1,18,4,2,1,2,59",histogram_q2,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,30.0","4406,199,414,336,74,357,27,37,14,18,90,1,12,5,2,11,1,97,8,10,11,3,11,1,87",histogram_q3,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0","1149,1172,964,660,148,167,136,187,110,139,498,397,434,232,83,125,75,91,59,31,75",histogram_ppincimp,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"0.0,1.0","110,5584",histogram_insured,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
"1.0,2.0,3.0,4.0","1442,1341,1463,2309",histogram_ppeducat,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,15567.0,sum_q1,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,16493.0,sum_q2,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,11708.0,sum_q3,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,44201.0,sum_ppincimp,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,5584.0,sum_insured,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,17749.0,sum_ppeducat,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_q1,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_q2,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_q3,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_ppincimp,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_insured,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,7000,count_ppeducat,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,2.2983906688321274,avg_q1,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,2.4063320688648964,avg_q2,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,1.8786906290115533,avg_q3,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,6.376370455856896,avg_ppincimp,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,0.9806814190375834,avg_insured,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
,2.707704042715484,avg_ppeducat,61.78,7000,1,1621546055.609838,gretel,4,0.1,0.3,100,487.2443265914917,0.001,0,1,32,2021-05-14T19:47:05,gretel
