result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,epochs,generate_time,noise_multiplier,num_of_runs,sample_per_teacher,student_iters,teacher_iters,timestamp
"49,55,57,58,59,60,62,63,65,66,67,68,72,73,74,75,76,78","130,267,385,429,138,156,107,156,407,144,134,152,310,385,271,156,144,129",histogram_age,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
"0,1","2945,1055",histogram_sex,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,260304,sum_age,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,1055,sum_sex,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,372609.47809999995,sum_test_time,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,76839.6268,sum_motor_updrs,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,105988.29980000001,sum_total_updrs,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,22.27647,sum_jitter_percent,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,0.16783925,sum_jitter_abs,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,124.54263,sum_shimmer,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,1138.587,sum_shimmer_db,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,2614.81343,sum_dfa,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,831.130536,sum_ppe,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_age,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_sex,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_test_time,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_motor_updrs,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_total_updrs,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_jitter_percent,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_jitter_abs,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_shimmer,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_shimmer_db,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_dfa,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,4000,count_ppe,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
,65.076,avg_age,-1,4000,1,1622929218.4850457,,500,300,86.39159774780273,0.001,0,1000,5,5,2021-06-05T10:10:09
