result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool
"1,2,3,4,5","1064,3742,3291,1027,234",histogram_q1,-1,9500,1,1621246045.0573075,
"1,2,3,4","591,2090,2729,3948",histogram_ppeducat,-1,9500,1,1621246045.0573075,
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","326,111,123,205,151,258,337,328,351,320,567,617,839,651,703,1100,626,605,384,371,385",histogram_ppincimp,-1,9500,1,1621246045.0573075,
,23699,sum_q1,-1,9500,1,1621246045.0573075,
,28750,sum_ppeducat,-1,9500,1,1621246045.0573075,
,121522,sum_ppincimp,-1,9500,1,1621246045.0573075,
,9358,count_q1,-1,9500,1,1621246045.0573075,
,9358,count_ppeducat,-1,9500,1,1621246045.0573075,
,9358,count_ppincimp,-1,9500,1,1621246045.0573075,
,2.5324855738405643,avg_q1,-1,9500,1,1621246045.0573075,
,3.0722376576191492,avg_ppeducat,-1,9500,1,1621246045.0573075,
,12.985894421885018,avg_ppincimp,-1,9500,1,1621246045.0573075,
"1.0,2.0,3.0,4.0,5.0","1825,3180,2889,1376,227",histogram_q1,57.74,9500,1,1621246045.0573075,gretel
"1.0,2.0,3.0,4.0","3230,1750,1750,2768",histogram_ppeducat,57.74,9500,1,1621246045.0573075,gretel
"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0","312,896,1263,1295,288,73,123,79,73,268,731,428,787,758,366,633,356,359,225,82,104",histogram_ppincimp,57.74,9500,1,1621246045.0573075,gretel
,23491.0,sum_q1,57.74,9500,1,1621246045.0573075,gretel
,23052.0,sum_ppeducat,57.74,9500,1,1621246045.0573075,gretel
,88032.0,sum_ppincimp,57.74,9500,1,1621246045.0573075,gretel
,9500,count_q1,57.74,9500,1,1621246045.0573075,gretel
,9500,count_ppeducat,57.74,9500,1,1621246045.0573075,gretel
,9500,count_ppincimp,57.74,9500,1,1621246045.0573075,gretel
,2.4735179530378013,avg_q1,57.74,9500,1,1621246045.0573075,gretel
,2.427037271004422,avg_ppeducat,57.74,9500,1,1621246045.0573075,gretel
,9.26750184229919,avg_ppincimp,57.74,9500,1,1621246045.0573075,gretel
