result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool
"2,3","1,2",histogram_q1,-1,3,1,1621246045.0573075,
"7,13,19",1,histogram_ppincimp,-1,3,1,1621246045.0573075,
1,3,histogram_insured,-1,3,1,1621246045.0573075,
"2,3,4",1,histogram_ppeducat,-1,3,1,1621246045.0573075,
,8,sum_q1,-1,3,1,1621246045.0573075,
,39,sum_ppincimp,-1,3,1,1621246045.0573075,
,3,sum_insured,-1,3,1,1621246045.0573075,
,9,sum_ppeducat,-1,3,1,1621246045.0573075,
,3,count_q1,-1,3,1,1621246045.0573075,
,3,count_ppincimp,-1,3,1,1621246045.0573075,
,3,count_insured,-1,3,1,1621246045.0573075,
,3,count_ppeducat,-1,3,1,1621246045.0573075,
,2.6666666666666665,avg_q1,-1,3,1,1621246045.0573075,
,13.0,avg_ppincimp,-1,3,1,1621246045.0573075,
,1.0,avg_insured,-1,3,1,1621246045.0573075,
,3.0,avg_ppeducat,-1,3,1,1621246045.0573075,
3.0,1,histogram_ppincimp,13.9568,3,1,1621246045.0573075,gretel
"2.0,3.0",1,histogram_ppeducat,13.9568,3,1,1621246045.0573075,gretel
,0.0,sum_q1,13.9568,3,1,1621246045.0573075,gretel
,3.0,sum_ppincimp,13.9568,3,1,1621246045.0573075,gretel
,0.0,sum_insured,13.9568,3,1,1621246045.0573075,gretel
,5.0,sum_ppeducat,13.9568,3,1,1621246045.0573075,gretel
,3,count_q1,13.9568,3,1,1621246045.0573075,gretel
,3,count_ppincimp,13.9568,3,1,1621246045.0573075,gretel
,3,count_insured,13.9568,3,1,1621246045.0573075,gretel
,3,count_ppeducat,13.9568,3,1,1621246045.0573075,gretel
,,avg_q1,13.9568,3,1,1621246045.0573075,gretel
,3.0,avg_ppincimp,13.9568,3,1,1621246045.0573075,gretel
,,avg_insured,13.9568,3,1,1621246045.0573075,gretel
,2.5,avg_ppeducat,13.9568,3,1,1621246045.0573075,gretel
