result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,generate_time,num_of_runs,query_count,timestamp
"1,2,3,4,5","331,1276,1052,288,53",histogram_q1,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,27,28,29,30","1738,176,249,137,70,145,16,59,9,6,98,1,11,21,37,3,1,2,31,1,3,4,2,13,3,6,5,153",histogram_q2,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1906,155,194,114,39,137,22,28,8,2,95,1,9,1,5,67,2,4,2,2,51,1,2,2,2,24,2,2,6,4,111",histogram_q3,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","67,26,22,48,42,74,90,89,87,81,161,189,239,223,254,420,226,224,148,151,139",histogram_ppincimp,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
"0,1","184,2816",histogram_insured,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
"1,2,3,4","132,715,807,1346",histogram_ppeducat,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,7456,sum_q1,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,10954,sum_q2,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,9966,sum_q3,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,41389,sum_ppincimp,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,2816,sum_insured,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,9367,sum_ppeducat,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_q1,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_q2,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_q3,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_ppincimp,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_insured,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_ppeducat,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,2.485333333333333,avg_q1,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3.6513333333333335,avg_q2,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3.322,avg_q3,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,13.796333333333333,avg_ppincimp,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,0.9386666666666666,avg_insured,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
,3.122333333333333,avg_ppeducat,-1,3000,1,1621546055.609838,,165.1293306350708,0,600,2021-05-15T13:46:54
"1,2,3,4,5","454,994,843,327,382",histogram_q1,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1265,112,65,60,59,62,49,58,49,60,52,61,59,59,55,64,48,47,52,57,52,57,51,61,68,45,58,53,59,52,51",histogram_q2,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","389,414,315,73,78,79,69,69,90,77,88,77,95,71,89,71,68,60,68,71,66,48,47,43,43,58,53,54,51,61,65",histogram_q3,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","75,69,97,93,71,100,99,93,103,103,201,187,209,204,207,190,188,175,185,175,176",histogram_ppincimp,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
"0,1","1008,1992",histogram_insured,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
"1,2,3,4","448,441,1072,1039",histogram_ppeducat,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,8189,sum_q1,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,25730,sum_q2,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,29878,sum_q3,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,38455,sum_ppincimp,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,1992,sum_insured,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,8702,sum_ppeducat,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_q1,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_q2,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_q3,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_ppincimp,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_insured,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,3000,count_ppeducat,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,2.7296666666666667,avg_q1,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,8.576666666666666,avg_q2,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,9.959333333333333,avg_q3,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,12.818333333333333,avg_ppincimp,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,0.664,avg_insured,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
,2.9006666666666665,avg_ppeducat,2.0,3000,1,1621546055.609838,smartnoise_mwem,165.1293306350708,0,600,2021-05-15T13:46:54
