result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,generate_time,num_of_runs,query_count,timestamp
"1,2,3,4,5","441,1674,1409,397,79",histogram_q1,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,27,28,29,30","2269,244,334,193,93,206,26,70,16,9,129,1,16,25,49,3,1,4,45,3,3,5,3,23,3,8,5,214",histogram_q2,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","2510,201,254,159,48,186,27,39,12,3,136,1,12,1,7,97,4,5,3,2,77,3,3,2,2,40,3,2,6,4,151",histogram_q3,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","97,36,34,66,54,91,121,129,124,113,223,254,336,299,325,544,298,285,191,196,184",histogram_ppincimp,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
"0,1","259,3741",histogram_insured,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
"1,2,3,4","182,936,1086,1796",histogram_ppeducat,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,9999,sum_q1,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,15124,sum_q2,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,13897,sum_q3,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,54719,sum_ppincimp,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,3741,sum_insured,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,12496,sum_ppeducat,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_q1,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_q2,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_q3,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_ppincimp,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_insured,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_ppeducat,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,2.49975,avg_q1,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,3.781,avg_q2,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,3.47425,avg_q3,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,13.67975,avg_ppincimp,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,0.93525,avg_insured,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
,3.124,avg_ppeducat,-1,4000,1,1622929679.853642,,175.82399582862854,0,400,2021-06-04T15:45:29
"1,2,3,4,5","481,1211,1181,560,567",histogram_q1,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","708,769,85,80,88,69,78,88,90,96,83,83,81,84,90,94,88,91,88,83,95,72,81,89,92,98,104,99,92,77,85",histogram_q2,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","535,405,476,134,108,134,119,77,92,85,78,82,91,100,81,88,92,92,77,100,71,89,89,90,89,85,105,86,86,93,71",histogram_q3,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","123,131,127,119,231,193,219,239,235,200,235,201,212,195,189,169,189,193,200,183,217",histogram_ppincimp,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
"0,1","1348,2652",histogram_insured,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
"1,2,3,4","655,706,1362,1277",histogram_ppeducat,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,11521,sum_q1,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,41772,sum_q2,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,42330,sum_q3,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,45841,sum_ppincimp,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,2652,sum_insured,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,11261,sum_ppeducat,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_q1,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_q2,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_q3,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_ppincimp,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_insured,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,4000,count_ppeducat,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,2.88025,avg_q1,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,10.443,avg_q2,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,10.5825,avg_q3,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
,11.46025,avg_ppincimp,0.75,4000,1,1622929679.853642,smartnoise_mwem,175.82399582862854,0,400,2021-06-04T15:45:29
