result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,delta,dp_l2_norm_clip,dp_noise_multiplier,epochs,generate_time,learning_rate,num_of_runs,predict_batch_size,rnn_units,timestamp
"1,2,3,4,5","984,3436,2993,945,219",histogram_q1,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4532,553,735,490,221,468,64,158,48,19,283,1,38,4,54,143,6,1,5,2,123,9,9,7,6,69,4,9,23,9,484",histogram_q2,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4948,434,593,353,128,475,64,97,42,9,344,1,33,6,26,225,6,8,5,3,209,5,7,5,6,100,8,6,24,8,399",histogram_q3,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","291,107,111,184,134,228,308,298,313,281,525,551,756,586,649,1018,586,574,359,348,370",histogram_ppincimp,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
"0,1","676,7901",histogram_insured,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
"1,2,3,4","540,1964,2458,3615",histogram_ppeducat,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,21710,sum_q1,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,35902,sum_q2,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,35531,sum_q3,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,112066,sum_ppincimp,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,7901,sum_insured,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,26302,sum_ppeducat,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,8577,count_q1,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,8577,count_q2,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,8577,count_q3,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,8577,count_ppincimp,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,8577,count_insured,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,8577,count_ppeducat,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,2.5311880610936224,avg_q1,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,4.185845866853212,avg_q2,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,4.142590649411216,avg_q3,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,13.065873848665035,avg_ppincimp,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,0.9211845633671447,avg_insured,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
,3.066573393960592,avg_ppeducat,-1,8577,1,1622395971.7027888,,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
"1.0,2.0,3.0,4.0,5.0","1003,3546,2566,1166,296",histogram_q1,29,8577,1,1622395971.7027888,gretel,4,0,0.1,0.3,100,1260.025238752365,0.005,0,1,32,2021-05-28T00:27:50
